	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
DGRP-57_locus1_chr2L:10000000-10002500_chr2L:10002500-10005000	11.328060119066205	-3.0267886020482995	1.0585095154346733	-2.859481712647013	0.004243338832522227	0.045783427866442274
DGRP-57_locus1_chr2L:10025000-10027500_chr2L:10027500-10030000	4.8840343158860176	-4.421116249081483	1.483977491671281	-2.9792340341377725	0.0028896997399738616	0.044235431899137846
DGRP-57_locus1_chr2L:10190000-10192500_chr2L:10197500-10200000	3.908041963187326	-4.106179264517968	1.4945200310811504	-2.747490283919124	0.006005328817855883	0.04671788706655733
DGRP-57_locus1_chr2L:10210000-10212500_chr2L:10217500-10220000	3.973403091781768	-4.134231047644351	1.4993263540608053	-2.7573923692110913	0.005826439096485726	0.04649867084003069
DGRP-57_locus1_chr2L:10212500-10215000_chr2L:10215000-10217500	11.60518593885942	-2.394368540276732	0.8784351143191438	-2.725720433127899	0.0064161317579448	0.046837952335721446
DGRP-57_locus1_chr2L:10215000-10217500_chr2L:10217500-10220000	11.889123728238022	-4.184408002816291	1.4634883040795297	-2.8592015331807525	0.004247088704729499	0.045783427866442274
DGRP-57_locus1_chr2L:10215000-10217500_chr2L:10222500-10225000	3.831167225065946	-4.0745560174217195	1.4940818124319362	-2.7271304579964815	0.0063887774522554145	0.04678308388380842
DGRP-57_locus1_chr2L:10222500-10225000_chr2L:10225000-10227500	7.785263626361026	-5.094753237306	1.473921784271769	-3.4565967418842383	0.0005470428090015161	0.029175418706107976
DGRP-57_locus1_chr2L:10232500-10235000_chr2L:10235000-10237500	8.638326802830584	-5.244141192300635	1.4721987523534579	-3.562114954870969	0.00036787922749077697	0.02403344884528519
DGRP-57_locus1_chr2L:10277500-10280000_chr2L:10280000-10282500	12.282385559096614	-3.1531662144441586	1.057191217718171	-2.982588354498361	0.0028582213579929454	0.044235431899137846
DGRP-57_locus1_chr2L:10315000-10317500_chr2L:10320000-10322500	5.418084930343117	-4.563601905277009	1.4881869486345713	-3.0665514903649482	0.002165435086995958	0.043109692118563664
DGRP-57_locus1_chr2L:10410000-10412500_chr2L:10412500-10415000	15.293938826847608	-1.9784810817175742	0.6935194082371443	-2.8528128531351005	0.0043334133587231765	0.045783427866442274
DGRP-57_locus1_chr2L:10447500-10450000_chr2L:10457500-10460000	4.907061534939894	-4.424618158883163	1.4850499456378317	-2.979440638936074	0.002887751763826588	0.044235431899137846
DGRP-57_locus1_chr2L:10465000-10467500_chr2L:10467500-10470000	10.344274685407763	-2.875966625541559	1.0588518501279383	-2.7161180529590268	0.006605236067602682	0.04756872776101738
DGRP-57_locus1_chr2L:10470000-10472500_chr2L:10472500-10475000	4.142386706118655	-4.1817626452380505	1.4901114636900106	-2.8063421744858053	0.005010745198169646	0.04616608837988087
DGRP-57_locus1_chr2L:10480000-10482500_chr2L:10482500-10485000	15.738419257632726	-2.9021322232790485	0.8693893770669453	-3.3381270807218257	0.0008434516424271005	0.034816070278295815
DGRP-57_locus1_chr2L:10492500-10495000_chr2L:10497500-10500000	4.461399268131114	-4.2978935506998575	1.4893570585757696	-2.8857375240896315	0.003904976756253959	0.0456100280748932
DGRP-57_locus1_chr2L:10492500-10495000_chr2L:10502500-10505000	5.391337182722052	-4.570633233182717	1.4843489130284204	-3.0792175566441125	0.0020754506094387464	0.043105327753135116
DGRP-57_locus1_chr2L:10530000-10532500_chr2L:10535000-10537500	6.436411192582373	-4.814668355654202	1.4809858742515059	-3.2509887091850542	0.0011500442479666026	0.038548824679796694
DGRP-57_locus1_chr2L:1055000-1057500_chr2L:1057500-1060000	5.660222754234196	-4.6310116222666755	1.4816302285830805	-3.125619019460359	0.001774312542060193	0.04232242922680106
DGRP-57_locus1_chr2L:10562500-10565000_chr2L:10570000-10572500	3.9540964012950797	-4.114650413885137	1.4923760603391856	-2.757113654684305	0.005831407877987049	0.04649867084003069
DGRP-57_locus1_chr2L:10567500-10570000_chr2L:10570000-10572500	5.5372935780050625	-4.602785502220735	1.4808987526587436	-3.1081027612165157	0.0018829258478207842	0.04237241250303014
DGRP-57_locus1_chr2L:10602500-10605000_chr2L:10605000-10607500	3.8541944441198233	-4.078820952348169	1.493500939790281	-2.7310467932620925	0.006313350699810729	0.04678308388380842
DGRP-57_locus1_chr2L:1062500-1065000_chr2L:1067500-1070000	3.8772216631737	-4.083219173397011	1.4952099289877692	-2.730866812903843	0.006316799387745752	0.04678308388380842
DGRP-57_locus1_chr2L:10642500-10645000_chr2L:10645000-10647500	12.507755385044533	-5.7742556057962835	1.472188239034632	-3.922226419620548	8.773448647118866e-05	0.008463822948062106
DGRP-57_locus1_chr2L:1067500-1070000_chr2L:1072500-1075000	4.349983701428918	-4.263924395729734	1.493673483816673	-2.8546562832691147	0.00430834284297224	0.045783427866442274
DGRP-57_locus1_chr2L:1072500-1075000_chr2L:1075000-1077500	4.772618749183822	-4.390460347310951	1.484703877265056	-2.9571286332184514	0.0031051854686257397	0.044594417362363754
DGRP-57_locus1_chr2L:10815000-10817500_chr2L:10817500-10820000	5.514266358951185	-4.599648014098698	1.4813864643277226	-3.1049615511277766	0.001903037604801034	0.04237241250303014
DGRP-57_locus1_chr2L:10935000-10937500_chr2L:10937500-10940000	4.837979877778265	-4.414053639422583	1.4863227329981272	-2.969781421911512	0.0029801170887556153	0.04441490685931487
DGRP-57_locus1_chr2L:11005000-11007500_chr2L:11007500-11010000	3.977123620348957	-4.11903630882283	1.4946289467081595	-2.755892235256642	0.005853227807312538	0.04649867084003069
DGRP-57_locus1_chr2L:1120000-1122500_chr2L:1125000-1127500	4.2307750537669735	-4.213212520000023	1.4889283048054107	-2.829694691411385	0.004659244230524574	0.045947470688034
DGRP-57_locus1_chr2L:11287500-11290000_chr2L:11290000-11292500	4.096332268010902	-4.173709688620928	1.4918638482178312	-2.7976478507786138	0.005147620163152084	0.04628340213616337
DGRP-57_locus1_chr2L:11290000-11292500_chr2L:11297500-11300000	4.319163401415292	-4.243998734340836	1.4879446509621155	-2.852255782227273	0.004341015464294578	0.045783427866442274
DGRP-57_locus1_chr2L:11297500-11300000_chr2L:11300000-11302500	5.902360578125274	-4.696095061587825	1.4795504967364943	-3.1740012064111336	0.0015035306584318996	0.04089009336578053
DGRP-57_locus1_chr2L:11302500-11305000_chr2L:11305000-11307500	4.10005279657809	-4.159153936263657	1.4997571778216263	-2.773218223435851	0.005550488584578095	0.04649867084003069
DGRP-57_locus1_chr2L:11307500-11310000_chr2L:11310000-11312500	5.049297401655716	-4.472304918075051	1.4833258123770008	-3.015052310664148	0.0025693493782195957	0.044058643131121136
DGRP-57_locus1_chr2L:11342500-11345000_chr2L:11345000-11347500	3.8657080536467614	-4.080975871552336	1.4940585975931995	-2.7314697550192735	0.0063052528013244425	0.04678308388380842
DGRP-57_locus1_chr2L:11370000-11372500_chr2L:11372500-11375000	4.17692753469947	-4.18824638214054	1.4941751570423114	-2.8030491354381013	0.005062195639054222	0.04616608837988087
DGRP-57_locus1_chr2L:1140000-1142500_chr2L:1142500-1145000	4.630382882468	-4.339896335473507	1.4873464544625876	-2.9178785631634234	0.003524215703101629	0.04511936872923524
DGRP-57_locus1_chr2L:1145000-1147500_chr2L:1147500-1150000	6.91289375940478	-4.917620834303695	1.4799945291515675	-3.322729062466742	0.000891414497905625	0.0357532831203208
DGRP-57_locus1_chr2L:11495000-11497500_chr2L:11497500-11500000	5.137685749304035	-4.498019691110547	1.483133466130917	-3.0327814683088703	0.0024231100498474257	0.04358674109157012
DGRP-57_locus1_chr2L:11562500-11565000_chr2L:11567500-11570000	12.573116513638976	-5.782562049490353	1.4697531821625116	-3.9343762746492024	8.341302265801366e-05	0.008170654508291844
DGRP-57_locus1_chr2L:1157500-1160000_chr2L:1162500-1165000	6.036803363881345	-4.724103389208981	1.4802447732639694	-3.1914339266959466	0.0014156848686261202	0.040243738608911714
DGRP-57_locus1_chr2L:11607500-11610000_chr2L:11610000-11612500	3.973403091781768	-4.134231047644351	1.4993263540608053	-2.7573923692110913	0.005826439096485726	0.04649867084003069
DGRP-57_locus1_chr2L:11612500-11615000_chr2L:11615000-11617500	6.313482016353239	-4.789430188770904	1.4789070546991638	-3.2384930300742667	0.0012016295699097989	0.03879242661280857
DGRP-57_locus1_chr2L:11640000-11642500_chr2L:11645000-11647500	3.831167225065946	-4.0745560174217195	1.4940818124319362	-2.7271304579964815	0.0063887774522554145	0.04678308388380842
DGRP-57_locus1_chr2L:11827500-11830000_chr2L:11832500-11835000	4.472912877658052	-4.2999092246906665	1.487925503974636	-2.8898686212478317	0.0038540285843198557	0.0456100280748932
DGRP-57_locus1_chr2L:11895000-11897500_chr2L:11900000-11902500	5.648709144707257	-4.62940628830962	1.4809607957374498	-3.1259478992517087	0.0017723294844966067	0.04232242922680106
DGRP-57_locus1_chr2L:11965000-11967500_chr2L:11967500-11970000	4.1654139251725315	-4.185949650731634	1.4922543115664362	-2.8051181479499934	0.0050298139191949824	0.04616608837988087
DGRP-57_locus1_chr2L:12147500-12150000_chr2L:12150000-12152500	5.203046877898476	-4.519696115395268	1.4854241970989777	-3.042697247171684	0.00234468097245162	0.04358674109157012
DGRP-57_locus1_chr2L:12152500-12155000_chr2L:12155000-12157500	4.396038139536673	-4.2722806447890616	1.4874534307422969	-2.872211362379949	0.004076102439975348	0.0456100280748932
DGRP-57_locus1_chr2L:1217500-1220000_chr2L:1227500-1230000	14.570329294811554	-3.429047703646435	1.051871069770357	-3.259950579679941	0.001114316283215513	0.03851709128023626
DGRP-57_locus1_chr2L:12175000-12177500_chr2L:12177500-12180000	4.72656431107607	-4.382796957208959	1.4897627128554893	-2.9419429815156755	0.003261599757204927	0.0447776088553021
DGRP-57_locus1_chr2L:12180000-12182500_chr2L:12182500-12185000	4.530480925292744	-4.309208112780257	1.4874899190739248	-2.896966263450757	0.00376790271724573	0.0456100280748932
DGRP-57_locus1_chr2L:12185000-12187500_chr2L:12187500-12190000	3.831167225065946	-4.0745560174217195	1.4940818124319362	-2.7271304579964815	0.0063887774522554145	0.04678308388380842
